KIC,Huber_Teff,Huber_e_Teff,Huber_logg,Huber_e_logg,Huber_MH,Huber_e_MH,TESS_Teff,TESS_e_Teff,TESS_logg,TESS_e_logg,TESS_MH,TESS_e_MH
7624946,4250,127,4.571,0.4,-0.015,-0.015,4202.0,122.0,4.18992,nan,nan,nan
8264607,6281,219,4.186,0.4,-0.13,-0.13,6484.0,122.0,4.26045,nan,nan,nan
3863924,4475,135,4.527,0.4,-1.683,-1.683,4750.0,123.0,nan,nan,nan,nan
5793327,5704,178,4.627,0.4,0.036,0.036,5530.0,122.0,4.35766,nan,nan,nan
3661798,11287,395,4.074,0.4,0.046,0.046,10301.0,127.0,3.66828,nan,nan,nan
8752817,4976,158,3.254,0.4,0.4,0.4,4678.0,122.0,nan,nan,nan,nan
6500531,6108,172,4.577,0.4,-0.083,-0.083,5793.2,112.438,4.44365,0.0729965,-0.0117451,0.048619
8037792,5664,166,4.282,0.4,-0.16,-0.16,5467.73,47.04,4.40538,nan,0.155,0.045
4736896,5104,178,4.036,0.4,-0.346,-0.346,4986.0,122.0,4.46438,nan,nan,nan
9664247,5371,154,4.467,0.4,-0.925,-0.925,5732.19,50.14,4.56799,nan,-0.331,0.048
8561238,4969,144,2.675,0.03,0.025,0.025,4882.21,78.3138,nan,nan,0.136013,0.00702202
3644109,6694,205,4.185,0.4,-0.098,-0.098,6572.0,122.52,4.37738,0.0863177,nan,nan
2985054,6601,224,4.226,0.4,-0.137,-0.137,6874.71,39.03,3.92742,nan,-0.182,0.037
8249646,5983,201,4.413,0.4,-0.026,-0.026,5831.0,122.0,4.32781,nan,nan,nan
11706824,4980,143,4.631,0.4,-0.104,-0.104,4818.0,122.0,4.5113,nan,nan,nan
9401660,5968,208,4.739,0.4,-0.065,-0.065,5742.65,120.53,nan,nan,0.199,0.117
4381536,5270,162,4.449,0.4,-0.566,-0.566,nan,nan,nan,nan,nan,nan
2974619,5327,158,4.243,0.4,-0.191,-0.191,5145.0,122.0,4.47018,nan,nan,nan
8395874,5162,180,4.506,0.4,-0.037,-0.037,5050.0,123.0,4.55466,nan,nan,nan
8497211,4635,162,2.4,0.03,-0.28,-0.28,4533.05,76.9907,nan,nan,0.40246,0.00724291
12459554,5313,153,4.519,0.4,-0.266,-0.266,5159.0,123.0,4.26194,nan,nan,nan
8054994,4909,171,4.443,0.4,-0.458,-0.458,4891.0,122.0,4.63605,nan,nan,nan
7513516,6605,231,4.034,0.4,-0.14,-0.14,6273.39,152.851,3.919,0.0867921,-0.09516,0.00992348
6548637,4483,128,4.671,0.4,-0.163,-0.163,4380.0,122.0,4.54991,nan,nan,nan
7259653,4743,139,2.509,0.03,-0.406,-0.406,4726.18,71.8821,nan,nan,-0.138636,0.00826434
8265169,5451,190,4.96,0.4,-0.512,-0.512,6102.0,123.0,4.47872,nan,nan,nan
10451172,5894,177,4.481,0.4,-0.11,-0.11,5683.0,122.0,4.40417,nan,nan,nan
9702122,5272,147,4.831,0.4,-0.154,-0.154,5084.0,122.0,4.14496,nan,nan,nan
8841596,4699,142,4.492,0.4,-1.169,-1.169,5121.32,70.84,4.65343,nan,0.208,0.068
9945692,6313,184,4.256,0.4,-0.49,-0.49,6068.0,122.0,4.21493,nan,nan,nan
5878798,4930,160,2.456,0.03,-0.065,-0.065,4642.73,34.647,nan,nan,-0.189254,0.0323953
6955481,5924,178,4.436,0.4,-0.514,-0.514,5643.0,122.0,4.60621,nan,nan,nan
11402156,4384,128,4.642,0.4,-0.618,-0.618,4399.0,122.0,4.5512,nan,nan,nan
2019076,5889,197,4.454,0.4,-0.554,-0.554,nan,nan,nan,nan,nan,nan
9578842,5541,161,4.901,0.4,0.043,0.043,5375.93,105.407,4.49039,0.0740853,0.266046,0.0248621
9152029,6550,185,4.389,0.4,-0.318,-0.318,6436.25,135.938,4.1283,0.090471,0.109,0.014
3764834,6337,221,4.713,0.4,0.032,0.032,5916.0,123.0,4.42577,nan,nan,nan
5472103,5120,157,3.764,0.4,-0.603,-0.603,5400.0,123.0,nan,nan,nan,nan
10029697,5752,167,5.004,0.4,-0.067,-0.067,5764.0,123.0,4.27188,nan,nan,nan
6358970,5088,159,2.746,0.03,-0.021,-0.021,4762.73,164.66,nan,nan,-0.151,0.153
9813950,4994,144,4.602,0.4,-0.035,-0.035,4775.0,122.0,nan,nan,nan,nan
